  logg    Teff     ZR    y1(CHEOPS)    
  logg    Teff     ZR    y2(CHEOPS)    
  5.00    6900.   0.0000   0.9653
  5.00    6900.   0.0000  -0.0224
  5.00    7000.   0.0000   0.9510
  5.00    7000.   0.0000  -0.0213
  5.00    7200.   0.0000   0.9386
  5.00    7200.   0.0000  -0.0232
  5.00    7400.   0.0000   0.9296
  5.00    7400.   0.0000  -0.0175
  5.00    7600.   0.0000   0.9139
  5.00    7600.   0.0000  -0.0269
  5.00    7800.   0.0000   0.8891
  5.00    7800.   0.0000  -0.0277
  5.00    8000.   0.0000   0.8633
  5.00    8000.   0.0000  -0.0339
  5.00    8200.   0.0000   0.8386
  5.00    8200.   0.0000  -0.0351
  5.00    8400.   0.0000   0.8115
  5.00    8400.   0.0000  -0.0336
  5.00    8600.   0.0000   0.7783
  5.00    8600.   0.0000  -0.0217
  5.00    8800.   0.0000   0.7376
  5.00    8800.   0.0000  -0.0187
  5.00    9000.   0.0000   0.6845
  5.00    9000.   0.0000  -0.0155
  5.00    9200.   0.0000   0.6340
  5.00    9200.   0.0000  -0.0141
  5.00    9400.   0.0000   0.6152
  5.00    9400.   0.0000  -0.0131
  5.00    9600.   0.0000   0.6086
  5.00    9600.   0.0000  -0.0140
  5.00    9800.   0.0000   0.5931
  5.00    9800.   0.0000  -0.0129
  5.00   10000.   0.0000   0.5797
  5.00   10000.   0.0000  -0.0126
  5.00   10200.   0.0000   0.5672
  5.00   10200.   0.0000  -0.0123
  5.00   10400.   0.0000   0.5569
  5.00   10400.   0.0000  -0.0122
  5.00   10600.   0.0000   0.5478
  5.00   10600.   0.0000  -0.0122
  5.00   10800.   0.0000   0.5396
  5.00   10800.   0.0000  -0.0122
  5.00   11000.   0.0000   0.5314
  5.00   11000.   0.0000  -0.0123
  5.00   11200.   0.0000   0.5194
  5.00   11200.   0.0000  -0.0124
  5.00   11400.   0.0000   0.4511
  5.00   11400.   0.0000  -0.0112
  5.00   11600.   0.0000   0.4484
  5.00   11600.   0.0000  -0.0125
  5.00   11800.   0.0000   0.5042
  5.00   11800.   0.0000  -0.0113
  5.00   12000.   0.0000   0.4962
  5.00   12000.   0.0000  -0.0114
  5.50    2300.   0.0000   1.3349
  5.50    2300.   0.0000   0.1213
